"job_title_short","job_country","yearly_salary"
"Data Engineer","Latvia","125386.50"
"Senior Data Analyst","Brazil","125158.33"
"Data Engineer","Brazil","125106.25"
"Senior Data Engineer","Hong Kong","124733.33"
"Data Scientist","Singapore","124402.75"
"Machine Learning Engineer","Bulgaria","123912.50"
"Machine Learning Engineer","Pakistan","123760.00"
"Data Engineer","Czechia","123743.08"
"Senior Data Engineer","Spain","123543.91"
"Senior Data Scientist","Namibia","123500.00"
"Senior Data Scientist","Australia","123471.43"
"Software Engineer","Indonesia","123000.00"
"Senior Data Scientist","Finland","122814.00"
"Data Scientist","Croatia","122814.00"
"Data Engineer","India","122723.63"
"Data Engineer","Denmark","122136.50"
"Data Engineer","Lithuania","122136.50"
"Data Engineer","Tunisia","122136.50"
"Senior Data Engineer","Singapore","121937.30"
"Senior Data Analyst","U.S. Virgin Islands","121666.67"
"Senior Data Scientist","South Korea","121618.75"
"Software Engineer","Croatia","121450.00"
"Senior Data Engineer","Israel","120933.33"
"Software Engineer","Luxembourg","120600.00"
"Data Scientist","Nigeria","120460.67"
"Data Engineer","South Korea","120040.00"
"Business Analyst","Colombia","120000.00"
"Cloud Engineer","Germany","119607.14"
"Data Scientist","Slovakia","119475.00"
"Data Engineer","Chile","119433.33"
"Data Engineer","Poland","119423.82"
"Data Engineer","Romania","119367.00"
"Data Engineer","Portugal","119204.32"
"Data Scientist","Norway","119175.15"
"Senior Data Engineer","Portugal","119160.00"
"Data Scientist","Chile","119060.60"
"Data Scientist","Belgium","119007.00"
"Machine Learning Engineer","Egypt","119000.00"
"Cloud Engineer","Canada","118800.00"
"Data Engineer","El Salvador","118750.00"
"Data Engineer","Canada","118624.04"
"Data Engineer","Norway","118534.00"
"Senior Data Scientist","New Zealand","118350.00"
"Senior Data Scientist","Indonesia","118350.00"
"Senior Data Engineer","Romania","118300.00"
"Data Scientist","India","118203.69"
"Software Engineer","Portugal","117940.00"
"Data Scientist","Mexico","117848.62"
"Senior Data Engineer","Canada","117626.16"
"Data Engineer","Sri Lanka","117420.20"
"Senior Data Engineer","Peru","117350.00"
"Data Engineer","Spain","117345.25"
"Data Scientist","Finland","117228.50"
"Data Engineer","France","117149.43"
"Data Scientist","Morocco","117000.00"
"Machine Learning Engineer","Mexico","116802.00"
"Data Scientist","Poland","116717.10"
"Data Scientist","Germany","116669.14"
"Senior Data Engineer","Thailand","116126.67"
"Data Analyst","South Korea","115709.09"
"Machine Learning Engineer","Greece","115500.43"
"Machine Learning Engineer","Indonesia","115400.00"
"Machine Learning Engineer","Malaysia","115400.00"
"Cloud Engineer","United States","115099.36"
"Senior Data Engineer","Guatemala","115000.00"
"Senior Data Analyst","Kenya","114907.50"
"Data Scientist","Switzerland","114774.71"
"Data Engineer","United Kingdom","114748.13"
"Data Engineer","Colombia","114730.86"
"Data Scientist","South Korea","113988.43"
"Senior Data Scientist","Greece","113612.50"
"Data Scientist","Bulgaria","113530.25"
"Data Engineer","Israel","113498.96"
"Data Scientist","Ukraine","113098.83"
"Data Scientist","Estonia","112955.38"
"Data Scientist","Denmark","112954.21"
"Machine Learning Engineer","Spain","112953.44"
"Software Engineer","Guam","112728.00"
"Data Scientist","Czechia","112423.33"
"Data Engineer","Thailand","112412.40"
"Machine Learning Engineer","Israel","112221.43"
"Data Engineer","Malaysia","111993.86"
"Senior Data Scientist","Hungary","111900.00"
"Machine Learning Engineer","Japan","111815.83"
"Data Scientist","U.S. Virgin Islands","111768.17"
"Data Analyst","Greece","111683.28"
"Machine Learning Engineer","Germany","111669.21"
"Data Engineer","Italy","111638.17"
"Data Scientist","Ireland","111594.00"
"Data Engineer","South Africa","111494.00"
"Data Engineer","Singapore","111424.32"
"Senior Data Analyst","United States","111393.06"
"Machine Learning Engineer","India","111372.57"
"Senior Data Analyst","Portugal","111181.75"
"Data Analyst","Nicaragua","111175.00"
